# label	width	volume	logical_seed	active_seed	reason	notes
canonical2	48	128	1	6	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical2	48	128	2	7	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical2	64	128	0	6	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical2	64	128	2	5	nonfinite_loss_replacement
canonical3	48	64	3	4	conservative_repair_wave_20260414	L64_uniform_batch64_lr1e4_then_anneal
canonical3	48	128	0	4	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical3	48	128	1	5	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical3	48	128	2	6	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical3	48	128	3	7	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical3	64	128	0	8	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical3	64	128	1	9	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical3	64	128	2	10	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical3	64	128	3	11	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical3	64c3	64	3	4	conservative_repair_wave_20260414	L64_uniform_c3_batch64_lr1e4_then_anneal
canonical3	64c3	128	0	4	conservative_repair_wave_20260414	L128_uniform_c3_batch64_lr1e4_then_anneal
canonical3	64c3	128	1	5	conservative_repair_wave_20260414	L128_uniform_c3_batch64_lr1e4_then_anneal
canonical3	64c3	128	2	6	conservative_repair_wave_20260414	L128_uniform_c3_batch64_lr1e4_then_anneal
canonical3	64c3	128	3	7	conservative_repair_wave_20260414	L128_uniform_c3_batch64_lr1e4_then_anneal
canonical4	48	32	0	4	conservative_repair_wave_20260414	L32_uniform_batch64_lr1e4_then_anneal
canonical4	48	32	1	5	conservative_repair_wave_20260414	L32_uniform_batch64_lr1e4_then_anneal
canonical4	48	32	2	6	conservative_repair_wave_20260414	L32_uniform_batch64_lr1e4_then_anneal
canonical4	48	32	3	7	conservative_repair_wave_20260414	L32_uniform_batch64_lr1e4_then_anneal
canonical4	48	64	1	4	conservative_repair_wave_20260414	L64_uniform_batch64_lr1e4_then_anneal
canonical4	48	64	2	5	conservative_repair_wave_20260414	L64_uniform_batch64_lr1e4_then_anneal
canonical4	48	64	3	6	conservative_repair_wave_20260414	L64_uniform_batch64_lr1e4_then_anneal
canonical4	48	128	0	4	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical4	48	128	1	5	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical4	48	128	2	6	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical4	48	128	3	7	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical4	64	32	0	4	conservative_repair_wave_20260414	L32_uniform_batch64_lr1e4_then_anneal
canonical4	64	32	1	5	conservative_repair_wave_20260414	L32_uniform_batch64_lr1e4_then_anneal
canonical4	64	32	2	6	conservative_repair_wave_20260414	L32_uniform_batch64_lr1e4_then_anneal
canonical4	64	32	3	7	conservative_repair_wave_20260414	L32_uniform_batch64_lr1e4_then_anneal
canonical4	64	64	0	4	conservative_repair_wave_20260414	L64_uniform_batch64_lr1e4_then_anneal
canonical4	64	64	1	5	conservative_repair_wave_20260414	L64_uniform_batch64_lr1e4_then_anneal
canonical4	64	64	2	6	conservative_repair_wave_20260414	L64_uniform_batch64_lr1e4_then_anneal
canonical4	64	64	3	7	conservative_repair_wave_20260414	L64_uniform_batch64_lr1e4_then_anneal
canonical4	64	128	0	4	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical4	64	128	1	5	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical4	64	128	2	6	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical4	64	128	3	7	conservative_repair_wave_20260414	L128_uniform_batch64_lr1e4_then_anneal
canonical4	64c3	32	0	4	conservative_repair_wave_20260414	L32_uniform_c3_batch64_lr1e4_then_anneal
canonical4	64c3	32	1	5	conservative_repair_wave_20260414	L32_uniform_c3_batch64_lr1e4_then_anneal
canonical4	64c3	32	2	6	conservative_repair_wave_20260414	L32_uniform_c3_batch64_lr1e4_then_anneal
canonical4	64c3	32	3	7	conservative_repair_wave_20260414	L32_uniform_c3_batch64_lr1e4_then_anneal
canonical4	64c3	64	0	4	conservative_repair_wave_20260414	L64_uniform_c3_batch64_lr1e4_then_anneal
canonical4	64c3	64	1	5	conservative_repair_wave_20260414	L64_uniform_c3_batch64_lr1e4_then_anneal
canonical4	64c3	64	2	6	conservative_repair_wave_20260414	L64_uniform_c3_batch64_lr1e4_then_anneal
canonical4	64c3	128	0	4	conservative_repair_wave_20260414	L128_uniform_c3_batch64_lr1e4_then_anneal
canonical4	64c3	128	1	5	conservative_repair_wave_20260414	L128_uniform_c3_batch64_lr1e4_then_anneal
canonical4	64c3	128	2	6	conservative_repair_wave_20260414	L128_uniform_c3_batch64_lr1e4_then_anneal
canonical4	64c3	128	3	7	conservative_repair_wave_20260414	L128_uniform_c3_batch64_lr1e4_then_anneal
canonical3	64c3	64	3	4	forward_repair_wave_20260418	L64_uniform_c3_batch64_lr1e4_then_anneal loss_path=forward fresh_replacement
canonical3	64c3	128	0	4	forward_repair_wave_20260418	L128_uniform_c3_batch64_lr1e4_then_anneal loss_path=forward fresh_replacement
canonical3	64c3	128	1	5	forward_repair_wave_20260418	L128_uniform_c3_batch64_lr1e4_then_anneal loss_path=forward fresh_replacement
canonical3	64c3	128	2	6	forward_repair_wave_20260418	L128_uniform_c3_batch64_lr1e4_then_anneal loss_path=forward fresh_replacement
canonical3	64c3	128	3	7	forward_repair_wave_20260418	L128_uniform_c3_batch64_lr1e4_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	0	4	forward_repair_wave_20260418	L128_uniform_c3_batch64_lr1e4_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	2	5	forward_repair_wave_20260418	L128_uniform_c3_batch64_lr1e4_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	3	6	forward_repair_wave_20260418	L128_uniform_c3_batch64_lr1e4_then_anneal loss_path=forward fresh_replacement
canonical3	64c3	128	0	8	forward_accum4_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr1e4_then_anneal loss_path=forward fresh_replacement
canonical3	64c3	128	1	9	forward_accum4_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr1e4_then_anneal loss_path=forward fresh_replacement
canonical3	64c3	128	2	10	forward_accum4_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr1e4_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	0	7	forward_accum4_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr1e4_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	2	8	forward_accum4_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr1e4_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	3	9	forward_accum4_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr1e4_then_anneal loss_path=forward fresh_replacement
canonical3	64c3	128	0	11	forward_accum4_lr5e5_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr5e5_then_anneal loss_path=forward fresh_replacement
canonical3	64c3	128	1	12	forward_accum4_lr5e5_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr5e5_then_anneal loss_path=forward fresh_replacement
canonical3	64c3	128	2	13	forward_accum4_lr5e5_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr5e5_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	0	10	forward_accum4_lr5e5_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr5e5_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	2	11	forward_accum4_lr5e5_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr5e5_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	3	12	forward_accum4_lr5e5_repair_wave_20260418	L128_uniform_c3_batch32_accum4_lr5e5_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	0	13	forward_accum8_warmup_repair_wave_20260418	L128_uniform_c3_batch32_accum8_warmup_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	2	14	forward_accum8_warmup_repair_wave_20260418	L128_uniform_c3_batch32_accum8_warmup_then_anneal loss_path=forward fresh_replacement
canonical4	64c3	128	3	15	forward_accum8_warmup_repair_wave_20260418	L128_uniform_c3_batch32_accum8_warmup_then_anneal loss_path=forward fresh_replacement
